Wall time,Step,Value
1715068753.092554,1000,0.03525888919830322
1715069042.8934033,2000,0.021687151864171028
1715069332.727514,3000,0.018700705841183662
1715069623.2075188,4000,0.016397373750805855
1715069917.616935,5000,0.012686287052929401
1715070212.1119745,6000,0.010654942132532597
1715070506.6798377,7000,0.012549723498523235
1715070800.6057327,8000,0.010801625438034534
1715071092.7990377,9000,0.008408809080719948
1715071384.5531936,10000,0.006818035617470741
1715071677.4058545,11000,0.005558356177061796
1715071968.9777117,12000,0.008159380406141281
1715072261.01934,13000,0.006910889875143766
1715072552.8525257,14000,0.005627934820950031
1715072844.738301,15000,0.006256704218685627
1715073136.5739899,16000,0.005298365373164415
1715073429.1502392,17000,0.004245356190949678
1715073721.0596943,18000,0.003557332092896104
1715074012.9815345,19000,0.0025915117003023624
1715074306.3932533,20000,0.0031284273136407137
1715074598.523406,21000,0.004134566523134708
1715074891.4778466,22000,0.0026363921351730824
1715075183.672884,23000,0.0027891243807971478
1715075475.8703272,24000,0.0034600042272359133
1715075767.7516532,25000,0.002706059953197837
1715076059.4989333,26000,0.0033349976874887943
1715076351.3495283,27000,0.0029048570431768894
1715076643.1339293,28000,0.0026560716796666384
1715076935.0244877,29000,0.001957267988473177
1715077226.782019,30000,0.0024884063750505447
1715077518.5725856,31000,0.0017409601714462042
1715077810.5223377,32000,0.0021397294476628304
1715078102.4479947,33000,0.0027636736631393433
1715078394.4423454,34000,0.0023751610424369574
1715078688.5095012,35000,0.0023182479199022055
1715078980.8651915,36000,0.0018746791174635291
1715079273.0556333,37000,0.0015483006136491895
1715079565.4784508,38000,0.0017934178467839956
1715079857.795513,39000,0.0019442406482994556
1715080149.6351414,40000,0.0015979884192347527
1715080441.4142087,41000,0.0014265133067965508
1715080733.1978943,42000,0.001606034580618143
1715081024.9124217,43000,0.0015699524665251374
1715081316.834785,44000,0.0017083806451410055
1715081608.484433,45000,0.0013724506134167314
1715081900.1333942,46000,0.0013473916333168745
1715082191.782824,47000,0.001425166497938335
1715082483.724192,48000,0.001257053459994495
1715082775.567598,49000,0.0013156100176274776
1715085775.8416004,50000,0.0013453809078782797
1715086075.7047634,51000,0.0010742436861619353
1715086375.8005407,52000,0.0012232351582497358
1715086676.118397,53000,0.0010555152548477054
1715086976.5511515,54000,0.0006984786596149206
1715087277.6138299,55000,0.0011484298156574368
1715087579.0764716,56000,0.0010086967376992106
1715087880.720462,57000,0.0009821983985602856
1715088182.4452212,58000,0.0009251186274923384
1715088484.2081516,59000,0.0009894772665575147
1715088786.1605942,60000,0.0008848063880577683
1715089090.177001,61000,0.0007134938496164978
1715089394.7140677,62000,0.0009220732026733458
1715089696.8121994,63000,0.0007351971580646932
1715089998.9369707,64000,0.0007704545860178769
1715090301.2093127,65000,0.0008087277528829873
1715090603.3455923,66000,0.0007117912755347788
1715090905.5156126,67000,0.0008798919734545052
1715091207.483361,68000,0.0006585863884538412
1715091509.4204571,69000,0.0008098015678115189
1715091811.3604007,70000,0.0009244580869562924
1715092113.2930698,71000,0.0006846552714705467
1715092415.3229313,72000,0.0007546336855739355
1715092717.3131886,73000,0.0008670050301589072
1715093019.3745484,74000,0.0007149933371692896
1715093321.496899,75000,0.0007361781317740679
1715093623.5188334,76000,0.0006860570283606648
1715093925.3174355,77000,0.0005317949107848108
1715094227.3760922,78000,0.0005534783704206347
1715094531.6021514,79000,0.0006449543870985508
1715094833.3429058,80000,0.0005790199502371252
1715095135.07369,81000,0.0005677015869878232
1715095436.8330038,82000,0.0007799945888109505
1715095738.621829,83000,0.0007704541203565896
1715096040.5317726,84000,0.0007275242242030799
1715096342.3125486,85000,0.0007578953518532217
1715096644.2971308,86000,0.0005067198071628809
1715096946.4687407,87000,0.0006229113205336034
1715097248.4089484,88000,0.0008498799288645387
1715097550.2098932,89000,0.000600549450609833
1715097851.932061,90000,0.0005368469865061343
1715098153.9647806,91000,0.0005377422785386443
1715098455.8359566,92000,0.000502134149428457
1715098757.815649,93000,0.00036737241316586733
1715099059.7244377,94000,0.0007324182079173625
1715099361.7978609,95000,0.0005504668224602938
1715099663.6531625,96000,0.000988817773759365
1715099965.4958267,97000,0.0005322747747413814
1715100267.2485902,98000,0.0006876279367133975
1715100569.2419746,99000,0.0004667374596465379
1715100871.180399,100000,0.0005324031808413565
1715101173.0921588,101000,0.0007656947709619999
1715101475.1056175,102000,0.0005580409779213369
1715101776.9375026,103000,0.0004891605349257588
1715102078.8445034,104000,0.0006042098975740373
1715102380.772518,105000,0.0008238222799263895
1715102682.9952455,106000,0.0005321403150446713
1715102985.0961525,107000,0.00048405351117253304
1715103287.1446803,108000,0.0005165343172848225
1715103589.2628143,109000,0.0005223638727329671
1715103891.4110217,110000,0.0005030195461586118
1715104193.7093072,111000,0.00045254689757712185
1715104495.8152936,112000,0.0004045023233629763
1715104797.956307,113000,0.0004967722925357521
1715105099.840825,114000,0.0004478592309169471
1715105402.0229514,115000,0.0004271414945833385
1715105704.0136921,116000,0.000409653497627005
1715106006.0655072,117000,0.0004979166551493108
1715106308.1573207,118000,0.00043927034130319953
1715106610.017966,119000,0.0005930580664426088
1715106911.7785578,120000,0.0004885871894657612
1715107213.7461286,121000,0.0004710978828370571
1715107515.7680547,122000,0.0003608750703278929
1715107817.610615,123000,0.0003705328854266554
1715108119.478738,124000,0.0003649338614195585
1715108421.5491326,125000,0.0004072041774634272
1715108723.5960329,126000,0.0003493495169095695
1715109025.7249792,127000,0.0003564724465832114
1715109328.0977845,128000,0.00035540267708711326
1715109630.691883,129000,0.0004809709789697081
